Pair_key,A_hebrew,A_name,A_fsctf,A_role,A_zx,A_fractal,A_SY,A_SY_idx,A_SY_tag,A_hebrew_idx,A_Path32,B_hebrew,B_name,B_fsctf,B_role,B_zx,B_fractal,B_SY,B_SY_idx,B_SY_tag,B_hebrew_idx,B_Path32,Class_pair,Motif,Fractal_Interplay,ZX_Undirected
וע,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,ע,Ayin,α,observe,measurement (axis v),projected_shadow,Simple,10,S10,16,26,Simple-Simple,composite,composed_attractors,spider fusion / entangler ↔ measurement (axis v)
ופ,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,פ,Peh,π,express,oracle/eval box,branch_cascade,Double,5,D5,17,27,Double-Simple,composite,composed_attractors,spider fusion / entangler ↔ oracle/eval box
וצ,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,צ,Tzaddi,ϕ,anchor_path,postselect / path lock,ridge_filament,Simple,11,S11,18,28,Simple-Simple,composite,composed_attractors,spider fusion / entangler ↔ postselect / path lock
וק,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,ק,Qof,Θ,horizon_cascade,Hadamard-X macro,period_doubling,Simple,12,S12,19,29,Simple-Simple,composite,composed_attractors,spider fusion / entangler ↔ Hadamard-X macro
ור,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,ר,Resh,∂,rebirth_reflect,Z-H conjugation,arnold_tongues,Double,6,D6,20,30,Double-Simple,composite,composed_attractors,spider fusion / entangler ↔ Z-H conjugation
וש,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,ש,Shin,∮,flame_transform,chaotic mixer (macro),strange_attractor,Mother,3,M3,21,31,Mother-Simple,composite,composed_attractors,spider fusion / entangler ↔ chaotic mixer (macro)
ות,ו,Vav,⊗,link,spider fusion / entangler,percolation_cluster,Simple,2,S2,6,16,ת,Tav,𝒢,completion_grace,global close / terminal,omega_limit,Double,7,D7,22,32,Double-Simple,composite,composed_attractors,spider fusion / entangler ↔ global close / terminal
זח,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,Simple-Simple,sculpted_region,pruned_hull,Z-projector / split ↔ boundary / cup-cap shell
זט,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,Simple-Simple,composite,composed_attractors,Z-projector / split ↔ Y-rotation (quadrature)
זי,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,Simple-Simple,composite,composed_attractors,Z-projector / split ↔ phase-kick (tiny)
זכ,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,Double-Simple,composite,composed_attractors,Z-projector / split ↔ Z-phase / global bias
זל,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,Simple-Simple,composite,composed_attractors,Z-projector / split ↔ normalization / ZX-NF
זמ,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,Mother-Simple,composite,composed_attractors,Z-projector / split ↔ trace/feedback loop
זנ,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,Simple-Simple,composite,composed_attractors,Z-projector / split ↔ discard+reset / damping
זס,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,ס,Samekh,𝒮,support,isometry + projector,backbone_tree,Simple,9,S9,15,25,Simple-Simple,composite,composed_attractors,Z-projector / split ↔ isometry + projector
זע,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,ע,Ayin,α,observe,measurement (axis v),projected_shadow,Simple,10,S10,16,26,Simple-Simple,composite,composed_attractors,Z-projector / split ↔ measurement (axis v)
זפ,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,פ,Peh,π,express,oracle/eval box,branch_cascade,Double,5,D5,17,27,Double-Simple,composite,composed_attractors,Z-projector / split ↔ oracle/eval box
זצ,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,צ,Tzaddi,ϕ,anchor_path,postselect / path lock,ridge_filament,Simple,11,S11,18,28,Simple-Simple,composite,composed_attractors,Z-projector / split ↔ postselect / path lock
זק,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,ק,Qof,Θ,horizon_cascade,Hadamard-X macro,period_doubling,Simple,12,S12,19,29,Simple-Simple,composite,composed_attractors,Z-projector / split ↔ Hadamard-X macro
זר,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,ר,Resh,∂,rebirth_reflect,Z-H conjugation,arnold_tongues,Double,6,D6,20,30,Double-Simple,composite,composed_attractors,Z-projector / split ↔ Z-H conjugation
זש,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,ש,Shin,∮,flame_transform,chaotic mixer (macro),strange_attractor,Mother,3,M3,21,31,Mother-Simple,chaos_pruned,composed_attractors,Z-projector / split ↔ chaotic mixer (macro)
זת,ז,Zayin,ζ,cut,Z-projector / split,cantor_prune,Simple,3,S3,7,17,ת,Tav,𝒢,completion_grace,global close / terminal,omega_limit,Double,7,D7,22,32,Double-Simple,composite,composed_attractors,Z-projector / split ↔ global close / terminal
חט,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,Simple-Simple,composite,composed_attractors,boundary / cup-cap shell ↔ Y-rotation (quadrature)
חי,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,Simple-Simple,composite,composed_attractors,boundary / cup-cap shell ↔ phase-kick (tiny)
חכ,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,Double-Simple,composite,composed_attractors,boundary / cup-cap shell ↔ Z-phase / global bias
חל,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,Simple-Simple,composite,composed_attractors,boundary / cup-cap shell ↔ normalization / ZX-NF
חמ,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,Mother-Simple,composite,composed_attractors,boundary / cup-cap shell ↔ trace/feedback loop
חנ,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,Simple-Simple,composite,composed_attractors,boundary / cup-cap shell ↔ discard+reset / damping
חס,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,ס,Samekh,𝒮,support,isometry + projector,backbone_tree,Simple,9,S9,15,25,Simple-Simple,composite,composed_attractors,boundary / cup-cap shell ↔ isometry + projector
חע,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,ע,Ayin,α,observe,measurement (axis v),projected_shadow,Simple,10,S10,16,26,Simple-Simple,composite,composed_attractors,boundary / cup-cap shell ↔ measurement (axis v)
חפ,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,פ,Peh,π,express,oracle/eval box,branch_cascade,Double,5,D5,17,27,Double-Simple,composite,composed_attractors,boundary / cup-cap shell ↔ oracle/eval box
חצ,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,צ,Tzaddi,ϕ,anchor_path,postselect / path lock,ridge_filament,Simple,11,S11,18,28,Simple-Simple,composite,composed_attractors,boundary / cup-cap shell ↔ postselect / path lock
חק,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,ק,Qof,Θ,horizon_cascade,Hadamard-X macro,period_doubling,Simple,12,S12,19,29,Simple-Simple,composite,composed_attractors,boundary / cup-cap shell ↔ Hadamard-X macro
חר,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,ר,Resh,∂,rebirth_reflect,Z-H conjugation,arnold_tongues,Double,6,D6,20,30,Double-Simple,composite,composed_attractors,boundary / cup-cap shell ↔ Z-H conjugation
חש,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,ש,Shin,∮,flame_transform,chaotic mixer (macro),strange_attractor,Mother,3,M3,21,31,Mother-Simple,composite,composed_attractors,boundary / cup-cap shell ↔ chaotic mixer (macro)
חת,ח,Chet,χ,enclosure,boundary / cup-cap shell,filled_julia_hull,Simple,4,S4,8,18,ת,Tav,𝒢,completion_grace,global close / terminal,omega_limit,Double,7,D7,22,32,Double-Simple,composite,composed_attractors,boundary / cup-cap shell ↔ global close / terminal
טי,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,Simple-Simple,composite,composed_attractors,Y-rotation (quadrature) ↔ phase-kick (tiny)
טכ,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,Double-Simple,curved_phase_bias,nested_tori,Y-rotation (quadrature) ↔ Z-phase / global bias
טל,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,Simple-Simple,composite,composed_attractors,Y-rotation (quadrature) ↔ normalization / ZX-NF
טמ,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,Mother-Simple,composite,composed_attractors,Y-rotation (quadrature) ↔ trace/feedback loop
טנ,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,Simple-Simple,composite,composed_attractors,Y-rotation (quadrature) ↔ discard+reset / damping
טס,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,ס,Samekh,𝒮,support,isometry + projector,backbone_tree,Simple,9,S9,15,25,Simple-Simple,composite,composed_attractors,Y-rotation (quadrature) ↔ isometry + projector
טע,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,ע,Ayin,α,observe,measurement (axis v),projected_shadow,Simple,10,S10,16,26,Simple-Simple,composite,composed_attractors,Y-rotation (quadrature) ↔ measurement (axis v)
טפ,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,פ,Peh,π,express,oracle/eval box,branch_cascade,Double,5,D5,17,27,Double-Simple,composite,composed_attractors,Y-rotation (quadrature) ↔ oracle/eval box
טצ,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,צ,Tzaddi,ϕ,anchor_path,postselect / path lock,ridge_filament,Simple,11,S11,18,28,Simple-Simple,composite,composed_attractors,Y-rotation (quadrature) ↔ postselect / path lock
טק,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,ק,Qof,Θ,horizon_cascade,Hadamard-X macro,period_doubling,Simple,12,S12,19,29,Simple-Simple,composite,composed_attractors,Y-rotation (quadrature) ↔ Hadamard-X macro
טר,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,ר,Resh,∂,rebirth_reflect,Z-H conjugation,arnold_tongues,Double,6,D6,20,30,Double-Simple,composite,composed_attractors,Y-rotation (quadrature) ↔ Z-H conjugation
טש,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,ש,Shin,∮,flame_transform,chaotic mixer (macro),strange_attractor,Mother,3,M3,21,31,Mother-Simple,composite,composed_attractors,Y-rotation (quadrature) ↔ chaotic mixer (macro)
טת,ט,Teth,ϑ,twist,Y-rotation (quadrature),KAM_tori,Simple,5,S5,9,19,ת,Tav,𝒢,completion_grace,global close / terminal,omega_limit,Double,7,D7,22,32,Double-Simple,composite,composed_attractors,Y-rotation (quadrature) ↔ global close / terminal
יכ,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,Double-Simple,composite,composed_attractors,phase-kick (tiny) ↔ Z-phase / global bias
יל,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,Simple-Simple,composite,composed_attractors,phase-kick (tiny) ↔ normalization / ZX-NF
ימ,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,Mother-Simple,composite,composed_attractors,phase-kick (tiny) ↔ trace/feedback loop
ינ,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,Simple-Simple,composite,composed_attractors,phase-kick (tiny) ↔ discard+reset / damping
יס,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,ס,Samekh,𝒮,support,isometry + projector,backbone_tree,Simple,9,S9,15,25,Simple-Simple,composite,composed_attractors,phase-kick (tiny) ↔ isometry + projector
יע,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,ע,Ayin,α,observe,measurement (axis v),projected_shadow,Simple,10,S10,16,26,Simple-Simple,composite,composed_attractors,phase-kick (tiny) ↔ measurement (axis v)
יפ,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,פ,Peh,π,express,oracle/eval box,branch_cascade,Double,5,D5,17,27,Double-Simple,composite,composed_attractors,phase-kick (tiny) ↔ oracle/eval box
יצ,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,צ,Tzaddi,ϕ,anchor_path,postselect / path lock,ridge_filament,Simple,11,S11,18,28,Simple-Simple,composite,composed_attractors,phase-kick (tiny) ↔ postselect / path lock
יק,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,ק,Qof,Θ,horizon_cascade,Hadamard-X macro,period_doubling,Simple,12,S12,19,29,Simple-Simple,composite,composed_attractors,phase-kick (tiny) ↔ Hadamard-X macro
יר,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,ר,Resh,∂,rebirth_reflect,Z-H conjugation,arnold_tongues,Double,6,D6,20,30,Double-Simple,composite,composed_attractors,phase-kick (tiny) ↔ Z-H conjugation
יש,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,ש,Shin,∮,flame_transform,chaotic mixer (macro),strange_attractor,Mother,3,M3,21,31,Mother-Simple,composite,composed_attractors,phase-kick (tiny) ↔ chaotic mixer (macro)
ית,י,Yod,ξ,spark,phase-kick (tiny),infinitesimal_germ,Simple,6,S6,10,20,ת,Tav,𝒢,completion_grace,global close / terminal,omega_limit,Double,7,D7,22,32,Double-Simple,composite,composed_attractors,phase-kick (tiny) ↔ global close / terminal
כל,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,Double-Simple,composite,composed_attractors,Z-phase / global bias ↔ normalization / ZX-NF
כמ,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,Double-Mother,composite,composed_attractors,Z-phase / global bias ↔ trace/feedback loop
כנ,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,Double-Simple,composite,composed_attractors,Z-phase / global bias ↔ discard+reset / damping
כס,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,ס,Samekh,𝒮,support,isometry + projector,backbone_tree,Simple,9,S9,15,25,Double-Simple,composite,composed_attractors,Z-phase / global bias ↔ isometry + projector
כע,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,ע,Ayin,α,observe,measurement (axis v),projected_shadow,Simple,10,S10,16,26,Double-Simple,composite,composed_attractors,Z-phase / global bias ↔ measurement (axis v)
כפ,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,פ,Peh,π,express,oracle/eval box,branch_cascade,Double,5,D5,17,27,Double-Double,composite,composed_attractors,Z-phase / global bias ↔ oracle/eval box
כצ,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,צ,Tzaddi,ϕ,anchor_path,postselect / path lock,ridge_filament,Simple,11,S11,18,28,Double-Simple,composite,composed_attractors,Z-phase / global bias ↔ postselect / path lock
כק,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,ק,Qof,Θ,horizon_cascade,Hadamard-X macro,period_doubling,Simple,12,S12,19,29,Double-Simple,composite,composed_attractors,Z-phase / global bias ↔ Hadamard-X macro
כר,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,ר,Resh,∂,rebirth_reflect,Z-H conjugation,arnold_tongues,Double,6,D6,20,30,Double-Double,composite,composed_attractors,Z-phase / global bias ↔ Z-H conjugation
כש,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,ש,Shin,∮,flame_transform,chaotic mixer (macro),strange_attractor,Mother,3,M3,21,31,Double-Mother,composite,composed_attractors,Z-phase / global bias ↔ chaotic mixer (macro)
כת,כ,Kaf,κ⁺,capacity,Z-phase / global bias,annular_torus,Double,4,D4,11,21,ת,Tav,𝒢,completion_grace,global close / terminal,omega_limit,Double,7,D7,22,32,Double-Double,composite,composed_attractors,Z-phase / global bias ↔ global close / terminal
למ,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,Mother-Simple,learned_memory,critical_basin,normalization / ZX-NF ↔ trace/feedback loop
לנ,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,Simple-Simple,composite,composed_attractors,normalization / ZX-NF ↔ discard+reset / damping
לס,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,ס,Samekh,𝒮,support,isometry + projector,backbone_tree,Simple,9,S9,15,25,Simple-Simple,composite,composed_attractors,normalization / ZX-NF ↔ isometry + projector
לע,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,ע,Ayin,α,observe,measurement (axis v),projected_shadow,Simple,10,S10,16,26,Simple-Simple,composite,composed_attractors,normalization / ZX-NF ↔ measurement (axis v)
לפ,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,פ,Peh,π,express,oracle/eval box,branch_cascade,Double,5,D5,17,27,Double-Simple,composite,composed_attractors,normalization / ZX-NF ↔ oracle/eval box
לצ,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,צ,Tzaddi,ϕ,anchor_path,postselect / path lock,ridge_filament,Simple,11,S11,18,28,Simple-Simple,composite,composed_attractors,normalization / ZX-NF ↔ postselect / path lock
לק,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,ק,Qof,Θ,horizon_cascade,Hadamard-X macro,period_doubling,Simple,12,S12,19,29,Simple-Simple,composite,composed_attractors,normalization / ZX-NF ↔ Hadamard-X macro
לר,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,ר,Resh,∂,rebirth_reflect,Z-H conjugation,arnold_tongues,Double,6,D6,20,30,Double-Simple,composite,composed_attractors,normalization / ZX-NF ↔ Z-H conjugation
לש,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,ש,Shin,∮,flame_transform,chaotic mixer (macro),strange_attractor,Mother,3,M3,21,31,Mother-Simple,composite,composed_attractors,normalization / ZX-NF ↔ chaotic mixer (macro)
לת,ל,Lamed,λ,lift_balance,normalization / ZX-NF,RG_fixed_point,Simple,7,S7,12,22,ת,Tav,𝒢,completion_grace,global close / terminal,omega_limit,Double,7,D7,22,32,Double-Simple,composite,composed_attractors,normalization / ZX-NF ↔ global close / terminal
מנ,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,Mother-Simple,composite,composed_attractors,trace/feedback loop ↔ discard+reset / damping
מס,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,ס,Samekh,𝒮,support,isometry + projector,backbone_tree,Simple,9,S9,15,25,Mother-Simple,composite,composed_attractors,trace/feedback loop ↔ isometry + projector
מע,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,ע,Ayin,α,observe,measurement (axis v),projected_shadow,Simple,10,S10,16,26,Mother-Simple,observed_history,composed_attractors,trace/feedback loop ↔ measurement (axis v)
מפ,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,פ,Peh,π,express,oracle/eval box,branch_cascade,Double,5,D5,17,27,Double-Mother,historied_output,composed_attractors,trace/feedback loop ↔ oracle/eval box
מצ,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,צ,Tzaddi,ϕ,anchor_path,postselect / path lock,ridge_filament,Simple,11,S11,18,28,Mother-Simple,composite,composed_attractors,trace/feedback loop ↔ postselect / path lock
מק,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,ק,Qof,Θ,horizon_cascade,Hadamard-X macro,period_doubling,Simple,12,S12,19,29,Mother-Simple,composite,composed_attractors,trace/feedback loop ↔ Hadamard-X macro
מר,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,ר,Resh,∂,rebirth_reflect,Z-H conjugation,arnold_tongues,Double,6,D6,20,30,Double-Mother,composite,composed_attractors,trace/feedback loop ↔ Z-H conjugation
מש,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,ש,Shin,∮,flame_transform,chaotic mixer (macro),strange_attractor,Mother,3,M3,21,31,Mother-Mother,composite,composed_attractors,trace/feedback loop ↔ chaotic mixer (macro)
מת,מ,Mem,μ,memory,trace/feedback loop,basin_thickening,Mother,2,M2,13,23,ת,Tav,𝒢,completion_grace,global close / terminal,omega_limit,Double,7,D7,22,32,Double-Mother,composite,composed_attractors,trace/feedback loop ↔ global close / terminal
נס,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,ס,Samekh,𝒮,support,isometry + projector,backbone_tree,Simple,9,S9,15,25,Simple-Simple,safe_anneal,composed_attractors,discard+reset / damping ↔ isometry + projector
נע,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,ע,Ayin,α,observe,measurement (axis v),projected_shadow,Simple,10,S10,16,26,Simple-Simple,composite,composed_attractors,discard+reset / damping ↔ measurement (axis v)
נפ,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,פ,Peh,π,express,oracle/eval box,branch_cascade,Double,5,D5,17,27,Double-Simple,composite,composed_attractors,discard+reset / damping ↔ oracle/eval box
נצ,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,צ,Tzaddi,ϕ,anchor_path,postselect / path lock,ridge_filament,Simple,11,S11,18,28,Simple-Simple,composite,composed_attractors,discard+reset / damping ↔ postselect / path lock
נק,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,ק,Qof,Θ,horizon_cascade,Hadamard-X macro,period_doubling,Simple,12,S12,19,29,Simple-Simple,composite,composed_attractors,discard+reset / damping ↔ Hadamard-X macro
נר,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,ר,Resh,∂,rebirth_reflect,Z-H conjugation,arnold_tongues,Double,6,D6,20,30,Double-Simple,composite,composed_attractors,discard+reset / damping ↔ Z-H conjugation
נש,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,ש,Shin,∮,flame_transform,chaotic mixer (macro),strange_attractor,Mother,3,M3,21,31,Mother-Simple,composite,composed_attractors,discard+reset / damping ↔ chaotic mixer (macro)
נת,נ,Nun,ν,descent_rebirth,discard+reset / damping,skeleton_prune,Simple,8,S8,14,24,ת,Tav,𝒢,completion_grace,global close / terminal,omega_limit,Double,7,D7,22,32,Double-Simple,graced_rebirth,composed_attractors,discard+reset / damping ↔ global close / terminal
סע,ס,Samekh,𝒮,support,isometry + projector,backbone_tree,Simple,9,S9,15,25,ע,Ayin,α,observe,measurement (axis v),projected_shadow,Simple,10,S10,16,26,Simple-Simple,composite,composed_attractors,isometry + projector ↔ measurement (axis v)
ספ,ס,Samekh,𝒮,support,isometry + projector,backbone_tree,Simple,9,S9,15,25,פ,Peh,π,express,oracle/eval box,branch_cascade,Double,5,D5,17,27,Double-Simple,composite,composed_attractors,isometry + projector ↔ oracle/eval box
סצ,ס,Samekh,𝒮,support,isometry + projector,backbone_tree,Simple,9,S9,15,25,צ,Tzaddi,ϕ,anchor_path,postselect / path lock,ridge_filament,Simple,11,S11,18,28,Simple-Simple,composite,composed_attractors,isometry + projector ↔ postselect / path lock
